,Region,Location,Period,"Medical Doctors per 10,000","Nurses and Midwifes per 10,000","Pharmacists per 10,000","Dentists per 10,000"
0,Africa,Central African Republic,2023,0.74,10.97,0.03,0.01
1,Africa,Chad,2023,0.85,1.67,0.08,0.01
2,Africa,Senegal,2023,1.09,4.24,0.2,0.11
3,Africa,Cote d'Ivoire,2023,1.66,7.93,0.39,0.14
4,South-East Asia,Nepal,2023,10.11,40.92,2.25,1.64
5,South-East Asia,Sri Lanka,2023,11.36,22.58,1.09,0.96
6,Americas,Peru,2023,16.88,27.38,1.65,2.15
7,Eastern Mediterranean,Iran (Islamic Republic of),2023,18.11,28.76,3.36,5.26
8,Europe,Kyrgyzstan,2023,18.5,40.76,0.25,1.56
9,Europe,Turkmenistan,2023,19.3,34.88,1.39,1.24
10,Africa,Benin,2023,2.16,6.11,0.31,0.05
11,Western Pacific,Solomon Islands,2023,2.38,20.01,0.78,0.51
12,Western Pacific,Malaysia,2023,23.41,40.54,6.26,4.06
13,Americas,Brazil,2023,23.57,55.02,4.14,7.45
14,Americas,Dominican Republic,2023,24.26,20.6,0.19,2.69
15,Americas,Colombia,2023,25.35,15.41,1.84,8.68
16,Europe,Montenegro,2023,27.83,60.8,2.75,0.58
17,Africa,Botswana,2023,3.79,30.18,0.53,0.36
18,Eastern Mediterranean,Qatar,2023,30.22,84.89,12.44,7.39
19,Americas,Chile,2023,33.34,54.54,7.27,16.77
20,Eastern Mediterranean,Saudi Arabia,2023,34.06,65.57,11.07,7.81
21,Europe,Kazakhstan,2023,37.54,64.9,3.21,2.13
22,Europe,Israel,2023,37.97,58.99,8.64,8.97
23,Europe,Ireland,2023,38.75,147.77,11.05,4.75
24,Europe,Republic of Moldova,2023,40.16,63.17,1.06,4.98
25,Europe,Iceland,2023,43.73,158.64,11.04,7.84
26,Europe,San Marino,2023,46.29,94.36,10.98,7.42
27,Europe,Belarus,2023,47.17,108.15,4.5,6.09
28,Europe,Norway,2023,49.75,165.09,2.81,8.79
29,South-East Asia,Indonesia,2023,5.24,32.4,1.97,1.03
30,Africa,Eswatini,2023,5.57,42.6,0.34,0.28
31,Europe,Andorra,2023,50.68,47.22,9.77,12.11
32,Americas,Argentina,2023,51.06,47.49,5.8,10.86
33,South-East Asia,Bangladesh,2023,7.22,6.64,1.1,0.76
34,Africa,Cabo Verde,2023,7.3,17.98,0.19,0.15
35,Africa,Niger,2022,0.28,2.13,0.02,0.01
36,Africa,Central African Republic,2022,0.29,4.99,0.01,0.01
37,Africa,South Sudan,2022,0.41,6.91,0.15,0.03
38,Africa,Malawi,2022,0.54,5.07,0.06,0.05
39,Africa,Burundi,2022,0.78,7.4,0.09,0.01
40,Africa,Togo,2022,0.8,4.94,0.28,0.02
41,Africa,Chad,2022,0.82,2.08,0.1,0.01
42,Africa,Eritrea,2022,0.88,15.43,0.67,0.2
43,Africa,Rwanda,2022,0.9,11.06,0.06,0.2
44,Africa,Gambia,2022,1.04,6.88,0.02,0.03
45,Africa,Ethiopia,2022,1.05,12.22,1.36,0.28
46,Africa,Senegal,2022,1.24,4.27,0.2,0.13
47,Africa,Zimbabwe,2022,1.27,30.71,1.18,0.13
48,Africa,Sierra Leone,2022,1.34,11.63,0.11,0.02
49,Africa,United Republic of Tanzania,2022,1.34,4.94,0.35,0.12
50,Africa,Cameroon,2022,1.36,6.59,0.22,0.12
51,Africa,Ghana,2022,1.43,44.67,1.73,0.07
52,Africa,Burkina Faso,2022,1.48,10.97,0.37,0.05
53,Africa,Cote d'Ivoire,2022,1.62,6.88,0.38,0.14
54,Eastern Mediterranean,Yemen,2022,1.65,6.87,0.53,0.19
55,Africa,Madagascar,2022,1.72,2.81,0.01,0.08
56,Africa,Congo,2022,1.73,11.21,0.05,0.02
57,Africa,Mozambique,2022,1.75,9.34,0.15,0.11
58,Africa,Liberia,2022,1.78,10.07,0.32,0.02
59,Africa,Benin,2022,1.9,5.78,0.28,0.04
60,Africa,Mali,2022,1.91,4.16,0.75,0.01
61,Africa,Uganda,2022,1.91,22.65,0.36,0.11
62,Eastern Mediterranean,Iraq,2022,10.22,26.48,6.19,5.02
63,Africa,Mauritius,2022,14.36,40.48,0.32,3.24
64,Americas,El Salvador,2022,15.66,21.79,1.25,1.55
65,Americas,Panama,2022,16.25,33.45,2.18,2.8
66,Americas,Peru,2022,16.49,27.01,1.53,2.11
67,Africa,Algeria,2022,16.6,25.08,3.0,3.57
68,Europe,Kyrgyzstan,2022,18.72,37.89,0.25,1.54
69,Europe,Turkmenistan,2022,19.16,35.09,1.41,1.24
70,Eastern Mediterranean,Oman,2022,19.92,46.61,7.01,3.59
71,Africa,Democratic Republic of the Congo,2022,2.08,11.68,0.09,0.04
72,Africa,Guinea,2022,2.1,4.21,0.18,0.03
73,Africa,Lesotho,2022,2.35,17.56,1.12,0.37
74,Africa,Kenya,2022,2.36,20.24,0.25,0.25
75,Africa,Angola,2022,2.44,18.73,0.4,0.07
76,Africa,Guinea-Bissau,2022,2.52,9.9,0.01,0.1
77,Africa,Mauritania,2022,2.61,16.09,0.2,0.31
78,Americas,Dominican Republic,2022,22.34,20.78,1.52,2.52
79,Europe,Turkey,2022,22.36,34.83,4.48,4.87
80,Western Pacific,Malaysia,2022,22.9,40.26,5.7,3.87
81,Western Pacific,Republic of Korea,2022,26.1,90.86,8.04,5.41
82,Western Pacific,Japan,2022,26.49,129.78,20.26,8.16
83,Americas,Costa Rica,2022,26.87,30.71,12.09,10.89
84,Europe,Montenegro,2022,28.08,61.15,2.42,0.6
85,Western Pacific,Singapore,2022,28.34,65.59,6.65,4.61
86,Eastern Mediterranean,Jordan,2022,28.51,30.91,20.3,7.94
87,Eastern Mediterranean,United Arab Emirates,2022,29.15,61.87,13.59,8.29
88,Europe,North Macedonia,2022,29.44,55.15,5.95,9.24
89,Africa,Zambia,2022,3.24,29.36,0.71,0.15
90,Africa,Nigeria,2022,3.86,16.47,0.82,0.23
91,Europe,Serbia,2022,30.99,66.89,1.55,2.47
92,Europe,United Kingdom,2022,31.43,90.61,8.97,4.88
93,Americas,Chile,2022,31.78,49.81,6.68,15.83
94,Europe,Azerbaijan,2022,31.85,55.78,0.62,3.38
95,Europe,Armenia,2022,33.6,47.47,0.39,3.59
96,Europe,Ireland,2022,33.62,140.93,11.19,4.56
97,Europe,Slovenia,2022,33.67,105.63,7.34,7.43
98,Europe,Latvia,2022,33.98,43.74,8.84,7.08
99,Europe,Poland,2022,34.24,63.25,7.41,9.09
100,Europe,Hungary,2022,34.56,56.65,8.4,7.43
101,Europe,Estonia,2022,34.69,69.62,7.13,10.18
102,Eastern Mediterranean,Saudi Arabia,2022,34.82,62.33,10.58,7.43
103,Europe,Cyprus,2022,35.56,38.94,7.27,8.19
104,Europe,Belgium,2022,35.74,208.937,13.29,7.58
105,Western Pacific,New Zealand,2022,36.11,118.63,7.09,5.09
106,Europe,Romania,2022,36.25,82.53,11.79,11.4
107,Americas,United States of America,2022,36.81,133.76,11.13,6.0
