location,year,deaths,incidence,region,"medical doctors per 10,000","nurses and midwifes per 10,000","pharmacists per 10,000","dentists per 10,000",composite_score,rank
Iceland,1990,0.7577120968786455,0.6283203878495074,Europe,0.7018585441404233,0.9961122379986478,0.6705974842767296,0.6272022551092319,0.7580614161456434,1.0
Sweden,1990,0.3213895216272531,0.6386346855118163,Europe,0.8051109963861641,1.0,0.4496855345911951,1.0,0.7387622268039832,2.0
Finland,1990,0.43358105090492693,0.6748197560497315,Europe,0.741223541559112,0.7459432048681542,1.0,0.5821000704721636,0.7050849599870697,3.0
Denmark,1990,0.248498342580056,0.6764413125686968,Europe,0.8260196179659266,0.8980730223123734,0.4819182389937107,0.9126145172656801,0.7026872483276029,4.0
Azerbaijan,1990,0.6743212100657766,1.0,Europe,0.9478575116159009,0.8208248816768087,0.474056603773585,0.20155038759689922,0.6938130801300324,5.0
Kazakhstan,1990,0.6344299269749479,0.8169141841721206,Europe,0.9638616417139907,0.6859364435429343,0.6509433962264152,0.2755461592670895,0.6807281624951722,6.0
Lithuania,1990,0.35021031822065884,0.6849078278442788,Europe,0.9999999999999999,0.8034989858012171,0.40801886792452835,0.4171952078928823,0.6459689195682564,7.0
Republic of Moldova,1990,0.4571025792763024,0.675000073166292,Europe,0.864481156427465,0.7919202163624071,0.5794025157232705,0.29950669485553205,0.6380816429208438,8.0
Australia,1990,0.7331597339275913,0.48316019191136483,Western Pacific,0.5240061951471348,0.8542089249492901,0.39622641509433965,0.2882311486962649,0.5755831680144691,9.0
Estonia,1990,0.17699102019038704,0.7101621939553584,Europe,0.8701600413009808,0.6179851250845165,0.4465408805031447,0.3551797040169133,0.5463948546108263,10.0
New Zealand,1990,0.6622718315895235,0.27712599735240806,Western Pacific,0.44811564274651516,0.6522988505747127,0.7853773584905661,0.24524312896405914,0.5348521975836139,11.0
Bulgaria,1990,0.08856247632692349,0.9041964532947917,Europe,0.8002065049044914,0.4623901284651792,0.37185534591194974,0.47850599013389705,0.5057509767805337,12.0
Czechia,1990,0.14724826608318264,0.9113891576767648,Europe,0.6688177594217862,0.5339756592292089,0.2853773584905661,0.3756166314305849,0.47562482683455537,13.0
