IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,NER,Niger,Year,2023,true,,,,,,,,,,,,,0.38,,,,,,0.38,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2023,true,,,,,,,,,,,,,0.61,,,,,,0.61,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2023,true,,,,,,,,,,,,,0.74,,,,,,0.74,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,TCD,Chad,Year,2023,true,,,,,,,,,,,,,0.85,,,,,,0.85,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,GMB,Gambia,Year,2023,true,,,,,,,,,,,,,0.9,,,,,,0.9,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2023,true,,,,,,,,,,,,,0.98,,,,,,0.98,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,SEN,Senegal,Year,2023,true,,,,,,,,,,,,,1.09,,,,,,1.09,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2023,true,,,,,,,,,,,,,1.36,,,,,,1.36,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2023,true,,,,,,,,,,,,,1.43,,,,,,1.43,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2023,true,,,,,,,,,,,,,1.66,,,,,,1.66,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,MLI,Mali,Year,2023,true,,,,,,,,,,,,,1.88,,,,,,1.88,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2023,true,,,,,,,,,,,,,10.11,,,,,,10.11,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2023,true,,,,,,,,,,,,,11.36,,,,,,11.36,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,SUR,Suriname,Year,2023,true,,,,,,,,,,,,,13.55,,,,,,13.55,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,SLV,El Salvador,Year,2023,true,,,,,,,,,,,,,16.16,,,,,,16.16,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,PER,Peru,Year,2023,true,,,,,,,,,,,,,16.88,,,,,,16.88,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2023,true,,,,,,,,,,,,,18.08,,,,,,18.08,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2023,true,,,,,,,,,,,,,18.11,,,,,,18.11,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2023,true,,,,,,,,,,,,,18.5,,,,,,18.5,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2023,true,,,,,,,,,,,,,18.7,,,,,,18.7,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2023,true,,,,,,,,,,,,,19.3,,,,,,19.3,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,BEN,Benin,Year,2023,true,,,,,,,,,,,,,2.16,,,,,,2.16,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2023,true,,,,,,,,,,,,,2.38,,,,,,2.38,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,GHA,Ghana,Year,2023,true,,,,,,,,,,,,,2.66,,,,,,2.66,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AFR,Africa,Country,KEN,Kenya,Year,2023,true,,,,,,,,,,,,,2.89,,,,,,2.89,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2023,true,,,,,,,,,,,,,23.41,,,,,,23.41,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,BRA,Brazil,Year,2023,true,,,,,,,,,,,,,23.57,,,,,,23.57,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2023,true,,,,,,,,,,,,,24.26,,,,,,24.26,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,COL,Colombia,Year,2023,true,,,,,,,,,,,,,25.35,,,,,,25.35,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EUR,Europe,Country,MNE,Montenegro,Year,2023,true,,,,,,,,,,,,,27.83,,,,,,27.83,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,AMR,Americas,Country,CAN,Canada,Year,2023,true,,,,,,,,,,,,,28.19,,,,,,28.19,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
HWF_0001,"Medical doctors (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2023,true,,,,,,,,,,,,,29.92,,,,,,29.92,,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T08:00:00.000Z
