,Location,Period,"Medical Doctors per 10,000","Nurses and Midwifes per 10,000","Pharmacists per 10,000","Dentists per 10,000"
0,Central African Republic,2023,0.74,10.97,0.03,0.01
1,Chad,2023,0.85,1.67,0.08,0.01
2,Senegal,2023,1.09,4.24,0.2,0.11
3,Cote d'Ivoire,2023,1.66,7.93,0.39,0.14
4,Nepal,2023,10.11,40.92,2.25,1.64
5,Sri Lanka,2023,11.36,22.58,1.09,0.96
6,Peru,2023,16.88,27.38,1.65,2.15
7,Iran (Islamic Republic of),2023,18.11,28.76,3.36,5.26
8,Kyrgyzstan,2023,18.5,40.76,0.25,1.56
9,Turkmenistan,2023,19.3,34.88,1.39,1.24
10,Benin,2023,2.16,6.11,0.31,0.05
11,Solomon Islands,2023,2.38,20.01,0.78,0.51
12,Malaysia,2023,23.41,40.54,6.26,4.06
13,Brazil,2023,23.57,55.02,4.14,7.45
14,Dominican Republic,2023,24.26,20.6,0.19,2.69
15,Colombia,2023,25.35,15.41,1.84,8.68
16,Montenegro,2023,27.83,60.8,2.75,0.58
17,Botswana,2023,3.79,30.18,0.53,0.36
18,Qatar,2023,30.22,84.89,12.44,7.39
19,Chile,2023,33.34,54.54,7.27,16.77
20,Saudi Arabia,2023,34.06,65.57,11.07,7.81
21,Kazakhstan,2023,37.54,64.9,3.21,2.13
22,Israel,2023,37.97,58.99,8.64,8.97
23,Ireland,2023,38.75,147.77,11.05,4.75
24,Republic of Moldova,2023,40.16,63.17,1.06,4.98
25,Iceland,2023,43.73,158.64,11.04,7.84
26,San Marino,2023,46.29,94.36,10.98,7.42
27,Belarus,2023,47.17,108.15,4.5,6.09
28,Norway,2023,49.75,165.09,2.81,8.79
29,Indonesia,2023,5.24,32.4,1.97,1.03
30,Eswatini,2023,5.57,42.6,0.34,0.28
31,Andorra,2023,50.68,47.22,9.77,12.11
32,Argentina,2023,51.06,47.49,5.8,10.86
33,Bangladesh,2023,7.22,6.64,1.1,0.76
34,Cabo Verde,2023,7.3,17.98,0.19,0.15
35,Niger,2022,0.28,2.13,0.02,0.01
36,Central African Republic,2022,0.29,4.99,0.01,0.01
37,South Sudan,2022,0.41,6.91,0.15,0.03
38,Malawi,2022,0.54,5.07,0.06,0.05
39,Burundi,2022,0.78,7.4,0.09,0.01
40,Togo,2022,0.8,4.94,0.28,0.02
41,Chad,2022,0.82,2.08,0.1,0.01
42,Eritrea,2022,0.88,15.43,0.67,0.2
43,Rwanda,2022,0.9,11.06,0.06,0.2
44,Gambia,2022,1.04,6.88,0.02,0.03
45,Ethiopia,2022,1.05,12.22,1.36,0.28
46,Senegal,2022,1.24,4.27,0.2,0.13
47,Zimbabwe,2022,1.27,30.71,1.18,0.13
48,Sierra Leone,2022,1.34,11.63,0.11,0.02
49,United Republic of Tanzania,2022,1.34,4.94,0.35,0.12
50,Cameroon,2022,1.36,6.59,0.22,0.12
51,Ghana,2022,1.43,44.67,1.73,0.07
52,Burkina Faso,2022,1.48,10.97,0.37,0.05
53,Cote d'Ivoire,2022,1.62,6.88,0.38,0.14
54,Yemen,2022,1.65,6.87,0.53,0.19
55,Madagascar,2022,1.72,2.81,0.01,0.08
56,Congo,2022,1.73,11.21,0.05,0.02
57,Mozambique,2022,1.75,9.34,0.15,0.11
58,Liberia,2022,1.78,10.07,0.32,0.02
59,Benin,2022,1.9,5.78,0.28,0.04
60,Mali,2022,1.91,4.16,0.75,0.01
61,Uganda,2022,1.91,22.65,0.36,0.11
62,Iraq,2022,10.22,26.48,6.19,5.02
63,Mauritius,2022,14.36,40.48,0.32,3.24
64,El Salvador,2022,15.66,21.79,1.25,1.55
65,Panama,2022,16.25,33.45,2.18,2.8
66,Peru,2022,16.49,27.01,1.53,2.11
67,Algeria,2022,16.6,25.08,3.0,3.57
68,Kyrgyzstan,2022,18.72,37.89,0.25,1.54
69,Turkmenistan,2022,19.16,35.09,1.41,1.24
70,Oman,2022,19.92,46.61,7.01,3.59
71,Democratic Republic of the Congo,2022,2.08,11.68,0.09,0.04
72,Guinea,2022,2.1,4.21,0.18,0.03
73,Lesotho,2022,2.35,17.56,1.12,0.37
74,Kenya,2022,2.36,20.24,0.25,0.25
75,Angola,2022,2.44,18.73,0.4,0.07
76,Guinea-Bissau,2022,2.52,9.9,0.01,0.1
77,Mauritania,2022,2.61,16.09,0.2,0.31
78,Dominican Republic,2022,22.34,20.78,1.52,2.52
79,Türkiye,2022,22.36,34.83,4.48,4.87
80,Malaysia,2022,22.9,40.26,5.7,3.87
81,Republic of Korea,2022,26.1,90.86,8.04,5.41
82,Japan,2022,26.49,129.78,20.26,8.16
83,Costa Rica,2022,26.87,30.71,12.09,10.89
84,Montenegro,2022,28.08,61.15,2.42,0.6
85,Singapore,2022,28.34,65.59,6.65,4.61
86,Jordan,2022,28.51,30.91,20.3,7.94
87,United Arab Emirates,2022,29.15,61.87,13.59,8.29
88,North Macedonia,2022,29.44,55.15,5.95,9.24
89,Zambia,2022,3.24,29.36,0.71,0.15
90,Nigeria,2022,3.86,16.47,0.82,0.23
91,Serbia,2022,30.99,66.89,1.55,2.47
92,United Kingdom of Great Britain and Northern Ireland,2022,31.43,90.61,8.97,4.88
93,Chile,2022,31.78,49.81,6.68,15.83
94,Azerbaijan,2022,31.85,55.78,0.62,3.38
95,Armenia,2022,33.6,47.47,0.39,3.59
96,Ireland,2022,33.62,140.93,11.19,4.56
97,Slovenia,2022,33.67,105.63,7.34,7.43
98,Latvia,2022,33.98,43.74,8.84,7.08
99,Poland,2022,34.24,63.25,7.41,9.09
100,Hungary,2022,34.56,56.65,8.4,7.43
101,Estonia,2022,34.69,69.62,7.13,10.18
102,Saudi Arabia,2022,34.82,62.33,10.58,7.43
103,Cyprus,2022,35.56,38.94,7.27,8.19
104,Belgium,2022,35.74,208.937,13.29,7.58
105,New Zealand,2022,36.11,118.63,7.09,5.09
106,Romania,2022,36.25,82.53,11.79,11.4
107,United States of America,2022,36.81,133.76,11.13,6.0
108,Israel,2022,36.86,58.22,7.47,9.01
109,Slovakia,2022,36.97,60.14,8.47,5.43
110,Kazakhstan,2022,37.19,67.12,3.14,2.21
111,Netherlands (Kingdom of the),2022,38.76,116.65,2.17,5.67
112,Paraguay,2022,38.93,94.09,6.73,13.41
113,Croatia,2022,39.09,79.99,8.78,9.46
114,Botswana,2022,4.07,32.9,0.59,0.41
115,Comoros,2022,4.24,16.44,0.48,0.38
116,Sao Tome and Principe,2022,4.64,21.65,1.64,0.27
117,Australia,2022,40.86,134.5,9.37,6.41
118,Republic of Moldova,2022,41.45,64.03,1.1,5.11
119,Italy,2022,41.91,67.55,13.42,8.82
120,Spain,2022,42.94,64.06,12.29,6.03
121,Bulgaria,2022,43.28,47.04,8.91,11.23
122,Czechia,2022,43.52,95.3,7.18,7.39
123,Iceland,2022,44.4,156.39,10.94,7.91
124,Lithuania,2022,44.66,78.43,9.74,11.02
125,Germany,2022,45.34,122.49,6.71,8.48
126,San Marino,2022,46.63,86.8,10.56,7.33
127,Belarus,2022,46.69,107.28,4.51,5.87
128,Uruguay,2022,46.74,73.86,0.65,2.49
129,Norway,2022,49.08,160.93,6.25,8.78
130,Gabon,2022,5.21,23.7,0.77,0.18
131,Bhutan,2022,5.53,20.52,0.68,0.97
132,Namibia,2022,5.53,53.86,2.27,0.78
133,Eswatini,2022,5.61,43.65,0.23,0.28
134,Andorra,2022,51.57,46.68,9.79,11.67
135,Austria,2022,54.32,112.8,7.63,6.14
136,Argentina,2022,54.37,47.72,6.16,9.68
137,Georgia,2022,55.38,59.0,0.92,7.62
138,Portugal,2022,58.51,78.52,10.17,12.05
139,Indonesia,2022,6.81,41.23,1.14,1.46
140,Greece,2022,65.76,41.14,10.82,13.35
141,Seychelles,2022,65.98,72.91,2.79,3.51
142,Bangladesh,2022,7.17,6.22,1.09,0.75
143,Cabo Verde,2022,7.18,18.28,0.19,0.15
144,South Africa,2022,7.94,63.93,2.7,0.22
145,Malta,2022,78.55,83.4,15.26,5.11
146,Central African Republic,2021,0.22,2.04,0.0,0.0
147,Chad,2021,0.56,1.91,0.08,0.01
148,Togo,2021,0.57,3.86,0.02,0.02
